Country;Year;Income_Inequality;Eco1;Eco2;Eco3;Energy1;Energy2;Energy3;Health1;Health2;Finan1;Finan2;Finan3;Finan4;Finan5;Governance;Poverty;Env;Other1;Other2;Other3
70;2019;H;871.279521356256;2053.81288261417;2436.33393629301;66;40.3686065673828;30;42.1;3.939;0.14026728272438;49334.38671875;0.353010651318177;1.91902029514313;0.311016768217087;0.128713324666023;61.3482109509881;0.113057797770289;3.81709032313618;0;3.23707008361816
71;2010;H;2238.8671875;3132.48995593083;4211.42508688591;8;38.0397758483887;70;75.9;5.017;0.0879335924983025;581822.0625;0.431515584633984;1.52082419395447;0.4721899330616;-1.3782422542572;38.6155441575162;0.486883005962104;11.9428584964653;0;2.02213001251221
71;2011;H;2381.37036132813;3382.60986534787;4583.11243317868;10;39.8208045959473;70;73.8;4.96;0.0846704542636871;745468.875;0.461811538778548;1.53067195415497;0.500299036502838;-1.4160326719284;39.0333691645353;0.463009125259474;16.7759073133375;0;2.02213001251221
71;2012;H;2222.71362304688;3337.32621808281;4015.67411452956;10;41.5919952392578;70;71.9;4.895;0.0889820531010628;460009.53125;0.458775678126772;1.54058337211609;0.502265691757202;-1.43017327785491;39.7026281593089;0.44955612934229;6.64669345938477;0;2.02213001251221
71;2013;H;2213.85205078125;3394.44759330016;3953.71288864672;10;43.3435173034667;70;69.9;4.903;0.088251456618309;420018.59375;0.464006761343034;1.55055904388428;0.527031362056732;-1.48483502864837;39.7053272260759;0.440480408496594;7.51778871746273;0;2.02213001251221
71;2014;H;2253.6455078125;3916.38229440443;4413.62822428083;13;44.9000015258789;70;68;4.912;0.0877147018909454;370512.78125;0.456862672236127;1.56059920787811;0.62400233745575;-1.55676412582397;39.1017013066569;0.450190246828352;5.17423775201674;0;2.02213001251221
71;2015;H;2226.42163085938;3855.59088385328;4268.77412252798;15;46.9031066894531;70;66;4.898;0.0962937325239182;302431.25;0.492624357794634;1.57070446014404;0.654135584831238;-1.48254072666168;43.3423506747117;0.504548222221489;2.97569090164715;0;2.02213001251221
71;2016;H;2233.07348632813;4017.3543210644;4310.16132868664;16;48.8494033813477;70;64.1;4.829;0.096258133649826;221662.25;0.543075583646622;1.58087515830994;0.753350555896759;-1.53008425235748;47.8826529013831;0.546080394961862;2.74050635867162;0;2.02213001251221
71;2017;H;2176.896484375;4072.97824596664;4401.37416765382;17;50.7547187805176;70;62.1;4.761;0.0952751860022545;283894.125;0.691114793101531;1.59111166000366;0.695489168167114;-1.45191240310668;47.6669490626268;0.530471761090042;2.48029512284545;0;2.02213001251221
71;2018;H;2051.990234375;4072.75434133002;4395.6761107302;16;52.4470024108887;70;60.3;4.681;0.100534312427044;287478.28125;0.172857953063343;1.60141456127167;0.684130370616913;-1.60659003257751;47.7873926307173;0.515971084018811;6.14770644131694;0;2.02213001251221
71;2019;H;1950.04223632813;4019.40224656682;4336.84969412965;28;53.9625396728516;70;58.4;4.617;0.0948548316955566;292487.09375;0.173616019324084;1.61178410053253;0.677839815616608;-1.63887929916381;48.122672194291;0.511922936509227;8.25976911220096;0;2.02213001251221
72;2010;H;1163.22758436058;2686.67647918687;3352.45632879503;10;56.5;125;66.4;5.064;0.0989516898989677;131108.203125;0.479272792471776;1.45360636711121;0.499435931444168;-0.595708191394805;52.0196638378611;0.560744784507668;2.97597316384999;38.36;5.21774005889893
72;2011;H;1147.09295665703;2698.44131903421;3431.02108044548;13;56.5;125;62.9;5.039;0.0955040901899338;138254.84375;0.511993136624278;1.4709677696228;0.481983721256256;-0.497772127389907;52.5064689951885;0.588029711367301;3.6495940769705;40.2;4.90302991867065
72;2012;H;1160.91753477583;2723.36701654127;3551.16052897211;13;56.5;125;59.8;5.005;0.0937040150165558;139083.96875;0.481043499494748;1.48853659629822;0.487517774105072;-0.477523863315582;52.0109259730854;0.563383773056991;4.86398118749562;37.59;4.77698993682861
72;2013;H;1157.11512593136;2649.86638281118;3361.73941309236;13;57;114;56.7;4.96;0.0959015712141991;127535.1953125;0.500530678955244;1.50631523132324;0.478361636400223;-0.428277671337127;48.7980294930601;0.589383332771876;3.42436224964169;37.21;5.68656015396118
72;2014;H;1196.16430367134;2689.84725662321;3300.77395957696;16;61;114;53.8;4.905;0.0866993740200996;127171.4921875;0.493396891891611;1.52430617809296;0.474115997552872;-0.407872408628463;50.1522656667735;0.613587044752342;3.1569476524477;35.91;5.72021007537842
72;2015;H;1238.12639559545;2720.6509575189;3328.54029916674;23;60.5;81;51;4.781;0.0929280743002892;129458.734375;0.410335613573881;1.54251205921173;0.477031111717224;-0.449007272720336;47.7638546406683;0.64679457579979;3.47911885653568;33.68;5.45637989044189
72;2016;H;1281.710181532;2757.60917933942;3350.61148962095;24;64.5;75;48.4;4.683;0.10063911229372;128515.171875;0.412850821229109;1.56093537807465;0.486746340990067;-0.47374016046524;44.4988324279545;0.686906342711816;3.9796411050175;0;5.11309003829956
72;2017;H;1339.56799664854;2770.14059602363;3483.79191079977;26;61.7000007629395;75;45.9;4.622;0.10905372351408;133590.546875;0.425012999582426;1.57957863807678;0.472304046154022;-0.340407967567443;42.0275204411113;0.646584895307648;3.21232528542185;0;4.62496995925903
72;2018;H;1384.64206999598;2810.09564788733;3572.99113110979;29;66;75;43.7;4.584;0.115011401474476;143264.96875;0.430229708442831;1.59844470024109;0.462277412414551;-0.307826250791549;39.8214525733055;0.65339707602786;2.88655464408866;0;4.85822010040283
72;2019;H;1409.97081603748;2845.18341215562;3590.89111841144;33;70.4000015258789;68;41.8;4.517;0.114179871976376;153761.875;0.409029279705741;1.61753606796265;0.455130308866501;-0.115319676697254;39.7584909704452;0.768574983933597;2.75988310568798;0;5.34887981414795
73;2010;H;534.06743600977;1073.90946219715;1397.07122573545;1;11.4621734619141;113;161.4;5.327;0.0595756657421589;18040.591796875;0.354524154521611;1.50667643547058;0.295413732528687;-1.21519112586975;72.0408516077553;0.0870322019147085;10.5288662404631;39.34;2.58863997459412
73;2011;L;552.708097041928;1378.16780945844;1823.41031139917;2;14.1999998092651;113;154.5;5.209;0.063113272190094;21603.234375;0.372617767740179;1.52146458625793;0.298497974872589;-1.19694864749908;62.0264418425651;0.111139929087614;10.9869587677677;36.12;2.66890001296997
73;2012;H;620.095122669919;1596.42817179271;1909.92372497685;2;16.9765110015869;113;148;5.064;0.0602612942457199;21240.7265625;0.402951737802638;1.53639781475067;0.321958512067795;-1.22680616378784;57.054939717012;0.125902488986294;9.77051963302454;32.36;2.87204003334045
73;2013;H;729.607647624546;2255.14642691501;2419.60703544343;3;13.5;113;141.9;4.873;0.0345808640122414;16513.681640625;0.410428256917801;1.55147778987885;0.458871275186539;-1.22421503067016;51.0443741521899;0.148000124625638;7.22686963531629;25.69;2.37981009483337
73;2014;H;744.070037978329;2135.90881669447;2287.08368235927;5;18.6660308837891;82;140;4.703;0.0666473880410194;15036.66796875;0.39979921141616;1.56670558452606;0.45977771282196;-1.25280022621154;55.4902665357993;0.159312379983553;8.02771244072182;26.47;2.66291999816895
73;2015;H;576.740231738962;2007.95258856283;2145.61510249391;8;19.5345363616943;82;141;4.548;0.0626984909176826;17466.11328125;0.370727082140526;1.58208298683167;0.387643605470657;-1.24765014648437;54.3344257375577;0.148261607024579;10.5713602396516;34.18;3.05729007720947
73;2016;H;597.042907189143;1994.36634569872;2152.88379156732;15;20.2999992370605;82;126.1;4.466;0.0738655924797058;17709.013671875;0.31404814079877;1.59761118888855;0.393987566232681;-1.1896184682846;52.6971165827973;0.156233465747467;14.6732645434772;0;3.06023001670837
73;2017;H;607.194187735271;1838.41303477715;1974.70531658501;20;23.3999996185303;82;121.4;4.389;0.0653115510940552;15575.4599609375;0.304017230858488;1.61329197883606;0.400995045900345;-1.19133245944976;52.5815898779463;0.145879585519628;14.9365306672881;0;4.66096019744873
73;2018;H;613.549461680858;2126.89278355653;2215.5207945269;25;26.1000003814697;82;116.8;4.294;0.0700867176055908;15557.6923828125;0.315123427072938;1.6291264295578;0.467331171035767;-1.15590703487396;54.169142375443;0.132764621949018;8.55532841443589;0;6.98963022232056
73;2019;H;630.896017541675;2031.82767213145;2120.93839171839;30;22.7000007629395;82;112.5;4.192;0.065046101808548;15617.3232421875;0.293503194352773;1.6451164484024;0.446797907352448;-1.13592910766601;44.9445321542104;0.129094346244259;7.49079656656829;0;7.4470100402832
